level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,2.0,0.0,0.0,248,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Monaco,Le Havre,,nan,,,0.0,0.0,,nan,1.0,Monaco
1,2,3.0,0.0,0.0,217,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Le Havre,Monaco,,nan,,,0.0,0.0,,nan,1.0,Monaco
2,3,3.0,0.0,0.0,248,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '57.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.80'}]","[91, 117, 30, 35, 37, 216, 218]",True,430909.0,37.695,39.304,,,,,,,,,,,0.0,,,,6.0,3.0,4.0,4.0,0.01689528,0.01262646,-0.004268819999999998,Monaco,Le Havre,14.0,Mika Biereth,FW,True,-15.013668549413026,0.0,160.2895639364699,M. Biereth,1.0,Monaco
3,4,4.0,0.0,3.0,248,37.695,39.712,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '66.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.47'}]","[91, 117, 30, 35, 37, 215, 218]",True,252419.0,30.66,45.288,,,,,,,,,,,0.05,,,,4.0,4.0,3.0,5.0,0.01262646,0.01110462,-0.00152184,Monaco,Le Havre,6.0,Denis Zakaria,DMC,True,-7.645171157941334,0.0,141.59936120036238,D. Zakaria,1.0,Monaco
4,5,5.0,0.0,5.0,248,30.66,45.288,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '40.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.83'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.2'}]","[91, 117, 30, 36, 38, 215, 218]",True,456749.0,32.76,27.472,,,,,,,,,,,0.08333333333333333,,,,3.0,5.0,3.0,3.0,0.01110462,0.01132376,0.0002191399999999996,Monaco,Le Havre,13.0,Christian Mawissa,DC,True,2.65776443552069,0.0,-83.27747524627861,C. Mawissa,1.0,Monaco
5,6,5.5,0.0,6.5,248,32.76,27.472,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,117973.0,35.910000000000004,28.900000000000002,,,,,,6.0,,,,,0.10833333333333334,,,,3.0,3.0,4.0,3.0,0.01132376,0.01262646,0.0013027000000000004,Monaco,Le Havre,3.0,Eric Dier,DC,True,0.0,3.2563761099678743,24.38637110180136,E. Dier,1.0,Monaco
6,7,6.0,0.0,8.0,248,35.910000000000004,28.900000000000002,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.41'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '65.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.6'}]","[91, 117, 30, 36, 37, 216, 218]",True,117973.0,38.43,44.268,,,,,,,,,,,0.13333333333333333,,,,4.0,3.0,4.0,5.0,0.01262646,0.01269174,6.527999999999916e-05,Monaco,Le Havre,3.0,Eric Dier,DC,True,1.9207448620193617,0.0,80.68767906779098,E. Dier,1.0,Monaco
7,8,7.0,0.0,12.0,248,45.36000000000001,49.708,0.0,FirstHalf,TakeOn,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '4'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[91, 53]",True,456749.0,,,,,,,,,,,,,0.2,,,,,,,,,,,Monaco,Le Havre,13.0,Christian Mawissa,DC,True,0.0,0.0,,C. Mawissa,1.0,Monaco
8,9,4.0,0.0,12.0,217,59.64,18.292,0.0,FirstHalf,Tackle,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 143]",True,422864.0,,,,,,,,,,,,,0.2,,,,,,,,,,,Le Havre,Monaco,45.0,Issa Soumare,FW,True,0.0,0.0,,I. Soumare,1.0,Monaco
9,10,5.0,0.0,14.0,217,60.27,10.540000000000001,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,259930.0,,,,,,,,,,,,,0.23333333333333334,,,,,,,,,,,Le Havre,Monaco,21.0,Younes Namli,MR,True,0.0,0.0,,Y. Namli,1.0,Monaco
