level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,2.0,0.0,0.0,217,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Le Havre,Brest,,nan,,,0.0,0.0,,nan,1.0,Le Havre
1,2,2.0,0.0,0.0,2332,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Brest,Le Havre,,nan,,,0.0,0.0,,nan,1.0,Le Havre
2,3,3.0,0.0,0.0,217,52.92,33.864,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.80'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '57.7'}]","[91, 117, 30, 35, 37, 216, 218]",True,469368.0,37.695,39.236000000000004,,,,,,,,,,,0.0,,,,6.0,3.0,4.0,4.0,0.01689528,0.01262646,-0.004268819999999998,Le Havre,Brest,11.0,Godson Kyeremeh,FW,True,-15.428182805886728,0.0,160.5650833798153,G. Kyeremeh,1.0,Le Havre
3,4,3.5,0.0,3.0,217,37.695,39.236000000000004,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,457079.0,40.635000000000005,42.29600000000001,,,,,,4.0,,,,,0.05,,,,4.0,4.0,4.0,4.0,0.01262646,0.01262646,0.0,Le Havre,Brest,15.0,Ayumu Seko,DMC,True,0.0,2.6109271396292826,46.145762838175074,A. Seko,1.0,Le Havre
4,5,4.0,0.0,6.0,217,40.635000000000005,42.29600000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '69.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '40.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.18'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.5'}]","[91, 117, 30, 36, 37, 216, 218]",True,457079.0,42.73500000000001,47.328,,,,,,,,,,,0.1,,,,4.0,4.0,4.0,5.0,0.01262646,0.01269174,6.527999999999916e-05,Le Havre,Brest,15.0,Ayumu Seko,DMC,True,1.221960653315449,0.0,67.34780291865364,A. Seko,1.0,Le Havre
5,6,5.0,0.0,7.0,217,42.839999999999996,47.39600000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.78'}]","[91, 117, 30, 36, 38, 216, 218]",True,123253.0,43.89,32.844,,,,,,,,,,,0.11666666666666667,,,,4.0,5.0,5.0,3.0,0.01269174,0.01484598,0.00215424,Le Havre,Brest,4.0,Gautier Lloris,DC,True,2.4661602767591546,0.0,-85.87297362577435,G. Lloris,1.0,Le Havre
6,7,6.0,0.0,9.0,217,43.89,32.300000000000004,0.0,FirstHalf,BallTouch,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]",[91],True,486031.0,,,,,,,,,,,,,0.15,,,,,,,,,,,Le Havre,Brest,93.0,Arouna Sangante,DC,True,0.0,0.0,,A. Sangante,1.0,Le Havre
7,8,7.0,0.0,11.0,217,42.21000000000001,20.808000000000003,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '48.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.98'}]","[91, 117, 30, 36, 37, 216, 218]",True,555611.0,50.61000000000001,33.456,,,,,,,,,,,0.18333333333333332,,,,4.0,2.0,5.0,3.0,0.01269174,0.01484598,0.00215424,Le Havre,Brest,29.0,Stephan Zagadou,DC,True,9.768116252012938,0.0,56.41040721454057,S. Zagadou,1.0,Le Havre
8,9,8.0,0.0,12.0,217,49.665,32.43600000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.00'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '31.2'}]","[91, 117, 30, 35, 38, 216, 218]",True,457079.0,40.005,21.216,,,,,,,,,,,0.2,,,,5.0,3.0,4.0,2.0,0.01484598,0.01269174,-0.00215424,Le Havre,Brest,15.0,Ayumu Seko,DMC,True,-10.883226989033524,0.0,-130.72721923239072,A. Seko,1.0,Le Havre
9,10,9.0,0.0,14.0,217,39.06,21.012,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.11'}]","[91, 117, 30, 35, 37, 215, 218]",True,555611.0,31.290000000000003,33.932,,,,,,,,,,,0.23333333333333334,,,,4.0,2.0,3.0,3.0,0.01269174,0.01132376,-0.0013679799999999995,Le Havre,Brest,29.0,Stephan Zagadou,DC,True,-6.503099104671776,0.0,121.02241445898291,S. Zagadou,1.0,Le Havre
